pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_age,sy_dist,sy_pnum
"HD 5278 b","HD 5278","Transit",2021,14.33915600000,0.1202000000,2.45000000,7.80000000,2.900000,943.00,132.0000,0.080000,"F V",6203.00,1.194000,1.126000,3.0000,57.58460000,2
"HD 63433 c","HD 63433","Transit",2020,20.54382810000,,2.69200000,15.53900000,4.630000,678.92,,,"G5 V",5553.00,0.934000,0.956000,0.4140,22.40350000,3
"HD 97658 b","HD 97658","Radial Velocity",2010,9.48971160000,,2.12000000,8.30000000,4.800000,751.00,,0.050000,"K1 V",5212.00,0.728000,0.850000,3.9000,21.56180000,1
"HIP 29442 d","TOI-469","Radial Velocity",2023,6.42957500000,0.0673000000,1.53800000,5.14000000,,920.00,203.0000,,,5289.00,0.980000,0.901000,11.2000,68.19200000,3
"HIP 94235 b","HIP 94235","Transit",2022,7.71305700000,0.0787000000,3.00000000,379.00000000,,1060.00,,0.320000,"G V",5991.00,1.080000,1.094000,0.1180,58.51460000,1
"K2-105 b","K2-105","Transit",2017,8.26726000000,,3.40000000,15.40000000,2.240000,805.00,100.0000,,,5373.00,0.905000,0.940000,,197.98900000,1
"K2-11 b","K2-11","Transit",2015,39.93767000000,0.2257000000,7.55000000,,,734.00,,,,5433.00,5.150000,1.350000,,329.30900000,1
"K2-136 b","K2-136","Transit",2017,7.97525000000,0.0707000000,1.01400000,4.30000000,24.000000,610.00,33.5000,0.140000,,4500.00,0.677000,0.742000,0.6500,59.24740000,3
"K2-136 c","K2-136","Transit",2017,17.30723000000,0.1185000000,3.00000000,18.10000000,3.690000,470.00,11.9100,0.047000,,4500.00,0.677000,0.742000,0.6500,59.24740000,3
"K2-147 b","K2-147","Transit",2018,0.96193900000,0.0157500000,1.47286006,,,1077.00,,0.380000,,3690.00,0.578000,0.563000,,90.54940000,1
"K2-16 c","K2-16","Transit",2015,19.07863000000,0.1229000000,2.54000000,,,485.00,13.1000,,"K3 V",4742.00,0.660000,0.680000,,334.96700000,3
"K2-162 b","K2-162","Transit",2018,9.45889000000,0.0795000000,1.44000000,,,631.00,,,,4842.00,0.690000,0.750000,,124.43300000,1
"K2-216 b","K2-216","Transit",2018,2.17480000000,0.0280000000,1.75000000,8.00000000,8.200000,1103.00,248.0000,0.000000,"K5 V",4503.00,0.720000,0.700000,,115.46100000,1
"K2-237 b","K2-237","Transit",2018,2.18053332000,0.0355200000,16.06246934,434.15360396,0.577000,1759.00,,0.030000,,6180.00,1.236000,1.256000,1.0900,314.99500000,1
"K2-254 c","K2-254","Transit",2018,12.11839000000,0.0923000000,2.19000000,,,551.00,,,,4629.00,0.670000,0.710000,,227.77500000,2
"K2-273 b","K2-273","Transit",2018,11.71956630000,0.0729000000,3.05000000,,,849.00,,,,5161.00,0.850000,0.890000,,308.10500000,1
